/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  48174-  49783 MAP_121      AP-H201-X201    71857        1 [  -256.657853,   217.446735 ] [  -221.919810,   138.648621 ]        147.8        148.0        0
  49796-  51395 MAP_121      AP-H201-X201    71857        1 [  -186.730982,   284.259008 ] [   -96.837177,   260.350285 ]        147.8        145.5        0
  51408-  52365 MAP_121      AP-H201-X201    71857        1 [  -113.986402,   330.303978 ] [    17.610835,   326.997905 ]        147.7        148.2        0
  52386-  53991 MAP_122      AP-H201-X201    71866        1 [   -25.398238,   330.933967 ] [  -328.719257,   142.645770 ]         59.2         58.5        0
  54004-  55603 MAP_122      AP-H201-X201    71866        1 [  -142.133886,   212.765305 ] [  -262.083931,   211.832159 ]         58.8         58.9        0
  55616-  57215 MAP_122      AP-H201-X201    71866        1 [  -253.525942,    98.124499 ] [  -184.199272,   286.089976 ]         59.1         59.3        0
/Users/adam/work/h2co/apex/2010_reduced/2010_raw/O-085.F-9311A-2010_merge.apex
------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     21-    420 SGRA         AP-H201-F102    15036        1 [  -115.594139,   117.816101 ] [  -119.899727,   -56.829755 ]         73.6        179.9        0
    433-    834 SGRA         AP-H201-F102    15036        1 [  -117.927638,   117.311469 ] [   -47.891772,    15.178196 ]         70.4          0.5        0
    846-   1246 SGRA         AP-H201-F102    15036        1 [  -115.541636,   117.414518 ] [    24.091593,    87.186150 ]         82.7          0.2        0
   1258-   1408 SGRA         AP-H201-F102    15036        1 [  -117.279256,   111.936152 ] [    96.062664,   114.135339 ]         90.9          0.1        0
   1421-   1826 SGRA         AP-H201-F102    15037        1 [  -118.082518,   118.486923 ] [  -119.961199,   -56.768283 ]         94.7          0.1        0
   1839-   2238 SGRA         AP-H201-F102    15037        1 [  -116.734763,   115.086349 ] [   -47.965538,    15.153608 ]         86.1          0.3        0
   2250-   2652 SGRA         AP-H201-F102    15037        1 [  -116.918134,   118.704847 ] [    24.017827,    87.186150 ]         85.8        178.8        0
   2664-   2814 SGRA         AP-H201-F102    15037        1 [  -110.395938,   117.442900 ] [    96.038075,   114.110750 ]         88.4          0.1        0
   2827-   3226 SGRA         AP-H201-F102    15038        1 [  -117.142181,   116.698072 ] [  -119.985788,   -56.891226 ]         90.7          0.2        0
   3239-   3640 SGRA         AP-H201-F102    15038        1 [  -118.707464,   116.709394 ] [   -47.990127,    15.104430 ]         81.6          0.2        0
   3652-   4054 SGRA         AP-H201-F102    15038        1 [  -118.552657,   114.575786 ] [    24.030121,    87.136973 ]         94.7        179.8        0
   4066-   4216 SGRA         AP-H201-F102    15038        1 [  -114.181742,   111.075717 ] [    96.013487,   114.123044 ]         89.7        179.8        0
   4229-   4634 SGRA         AP-H201-F102    15039        1 [  -118.157065,   118.148648 ] [  -120.047259,   -56.891226 ]         95.5        179.6        0
   4647-   5046 SGRA         AP-H201-F102    15039        1 [  -117.319861,   117.145075 ] [   -48.039304,    15.104430 ]         96.1        180.0        0
   5058-   5460 SGRA         AP-H201-F102    15039        1 [  -112.536102,   119.656842 ] [    23.956355,    87.100090 ]         89.0        179.8        0
   5472-   5622 SGRA         AP-H201-F102    15039        1 [  -110.568035,   111.242423 ] [    95.964309,   114.098455 ]         93.3          0.0        0
   5653-   6054 SGRA         AP-H201-F102    15074        1 [  -216.283047,    18.655740 ] [  -120.108731,   -56.964992 ]         90.7        179.5        0
   6067-   6468 SGRA         AP-H201-F102    15074        1 [  -213.906229,    18.485534 ] [   -48.137659,    15.006076 ]         92.4        179.7        0
   6480-   6882 SGRA         AP-H201-F102    15074        1 [  -218.011842,    17.974716 ] [    23.882589,    87.063207 ]         92.2          1.1        0
   6894-   7044 SGRA         AP-H201-F102    15074        1 [  -214.591350,    14.018674 ] [    95.878249,   113.975512 ]         87.5          0.3        0
   7057-   7456 SGRA         AP-H201-F102    15075        1 [  -217.634584,    16.153632 ] [  -290.139448,  -226.983421 ]         89.8        179.5        0
   7469-   7868 SGRA         AP-H201-F102    15075        1 [  -216.666332,    16.929705 ] [  -218.143790,  -154.987775 ]         86.6          0.1        0
   7880-   8284 SGRA         AP-H201-F102    15075        1 [  -218.524795,    15.386014 ] [  -146.135850,   -82.979817 ]         81.9        179.4        0
   8296-   8446 SGRA         AP-H201-F102    15075        1 [  -213.289255,    17.195071 ] [   -74.127892,   -56.067505 ]         81.6        179.8        0
   8459-   8858 SGRA         AP-H201-F102    15076        1 [  -210.768267,    17.866203 ] [  -460.121024,  -397.026445 ]         92.5          0.1        0
   8871-   9274 SGRA         AP-H201-F102    15076        1 [  -219.317035,    18.210843 ] [  -388.125342,  -325.030787 ]        101.4        179.8        0
   9286-   9686 SGRA         AP-H201-F102    15076        1 [  -217.468634,    16.668163 ] [  -316.117390,  -253.059717 ]         83.7          0.1        0
   9698-   9848 SGRA         AP-H201-F102    15076        1 [  -213.965275,    16.069677 ] [  -244.146321,  -226.061346 ]         83.0          0.0        0
   9861-  10262 SGRA         AP-H201-F102    15077        1 [  -318.072334,   -85.697088 ] [  -290.176331,  -226.921949 ]        101.8        180.0        0
  10275-  10674 SGRA         AP-H201-F102    15077        1 [  -314.178918,   -82.451040 ] [  -218.168379,  -154.938598 ]         96.9          0.2        0
  10686-  11088 SGRA         AP-H201-F102    15077        1 [  -316.531051,   -81.177213 ] [  -146.135850,   -82.906051 ]         97.6          0.4        0
  11100-  11252 SGRA         AP-H201-F102    15077        1 [  -318.469139,   -84.284992 ] [   -74.164775,   -55.993739 ]         87.6          0.2        0
  11265-  11668 SGRA         AP-H201-F102    15078        1 [  -318.512385,   -81.799818 ] [  -460.182496,  -396.829735 ]         98.3        178.8        0
  11681-  12082 SGRA         AP-H201-F102    15078        1 [  -318.386968,   -82.327286 ] [  -388.174520,  -324.858666 ]        101.8        178.8        0
  12094-  12494 SGRA         AP-H201-F102    15078        1 [  -317.417492,   -84.668013 ] [  -316.166567,  -252.912185 ]         90.4        179.7        0
  12506-  12656 SGRA         AP-H201-F102    15078        1 [  -312.649713,   -86.141737 ] [  -244.158615,  -225.999874 ]         96.2          0.3        0
  12681-  13080 SGRA         AP-H201-F102    15246        1 [  -215.873972,    17.366608 ] [  -120.157909,   -56.977287 ]         90.2        179.3        0
  13093-  13496 SGRA         AP-H201-F102    15246        1 [  -218.206583,    18.228396 ] [   -48.211425,    15.006076 ]         87.4          0.2        0
  13508-  13908 SGRA         AP-H201-F102    15246        1 [  -217.399070,    15.135711 ] [    23.784235,    87.063207 ]         98.9        179.0        0
  13920-  14070 SGRA         AP-H201-F102    15246        1 [  -215.279617,    14.363530 ] [    95.767600,   113.938629 ]         87.4          0.6        0
  14083-  14484 SGRA         AP-H201-F102    15247        1 [  -218.676697,    17.356115 ] [  -290.188626,  -226.971127 ]         94.3          0.9        0
  14497-  14896 SGRA         AP-H201-F102    15247        1 [  -216.150354,    17.274378 ] [  -218.192968,  -155.000070 ]         93.4        178.5        0
  14908-  15310 SGRA         AP-H201-F102    15247        1 [  -216.343294,    18.138467 ] [  -146.209616,   -82.979817 ]         84.7        178.5        0
  15322-  15472 SGRA         AP-H201-F102    15247        1 [  -211.397175,    17.883103 ] [   -74.238541,   -56.079800 ]         98.5          0.1        0
  15485-  15886 SGRA         AP-H201-F102    15248        1 [  -212.496942,    18.294956 ] [  -460.243968,  -396.878913 ]         92.6          0.3        0
  15899-  16298 SGRA         AP-H201-F102    15248        1 [  -216.223256,    14.603341 ] [  -388.260580,  -324.993904 ]         83.5        179.8        0
  16310-  16710 SGRA         AP-H201-F102    15248        1 [  -216.867004,    17.099610 ] [  -316.228039,  -252.949068 ]         95.4          1.1        0
  16722-  16872 SGRA         AP-H201-F102    15248        1 [  -210.354749,    17.616187 ] [  -244.256970,  -226.061346 ]         89.2          0.4        0
  16910-  17311 SGRA         AP-H201-F102    14283        1 [  -115.680127,   118.148660 ] [  -119.973493,   -56.866638 ]         91.3          0.1        0
  17324-  17723 SGRA         AP-H201-F102    14283        1 [  -117.503243,   116.634667 ] [   -48.002421,    15.141313 ]         85.7        179.8        0
  17735-  18135 SGRA         AP-H201-F102    14283        1 [  -113.057771,   115.108596 ] [    24.005533,    87.112384 ]         91.2        179.8        0
  18148-  18299 SGRA         AP-H201-F102    14283        1 [  -116.246747,   118.985924 ] [    96.001192,   114.135339 ]         77.2          0.5        0
  18324-  18723 SGRA         AP-H201-F102    14285        1 [  -116.534524,   117.902113 ] [  -119.973493,   -56.878932 ]         89.8          0.1        0
  18736-  19137 SGRA         AP-H201-F102    14285        1 [  -118.277379,   116.806692 ] [   -48.014715,    15.092136 ]         91.5          0.6        0
  19149-  19549 SGRA         AP-H201-F102    14285        1 [  -113.993125,   117.844603 ] [    23.993238,    87.112384 ]         90.4        179.5        0
  19562-  19711 SGRA         AP-H201-F102    14285        1 [  -115.214251,   112.360919 ] [    95.964309,   114.110750 ]         89.1          0.1        0
  19736-  19887 SGRA         AP-H201-F102    14287        1 [  -114.631410,   118.228898 ] [  -120.022671,  -101.913107 ]         83.9        179.9        0
  19921-  20320 SGRA         AP-H201-F102    33753        1 [  -316.981475,   -82.057603 ] [  -459.961198,  -396.731381 ]         95.3          0.3        0
  20333-  20734 SGRA         AP-H201-F102    33753        1 [  -317.355997,   -81.378197 ] [  -387.953221,  -324.711134 ]         89.4        179.3        0
  20746-  21148 SGRA         AP-H201-F102    33753        1 [  -314.995747,   -81.741750 ] [  -315.982152,  -252.752359 ]         92.7        180.0        0
  21160-  21312 SGRA         AP-H201-F102    33753        1 [  -311.188512,   -81.843563 ] [  -243.961905,  -225.790870 ]        101.1          0.3        0
  21325-  21724 SGRA         AP-H201-F102    33754        1 [  -316.961329,   -82.355423 ] [  -629.979633,  -566.749839 ]         93.0        179.3        0
  21737-  22136 SGRA         AP-H201-F102    33754        1 [  -316.952613,   -82.465357 ] [  -558.033152,  -494.717298 ]         85.8        180.0        0
  22148-  22550 SGRA         AP-H201-F102    33754        1 [  -317.545070,   -81.872042 ] [  -486.000611,  -422.733935 ]         91.4        178.4        0
  22562-  22712 SGRA         AP-H201-F102    33754        1 [  -309.499193,   -83.434587 ] [  -414.066425,  -395.784716 ]         86.9          0.6        0
  22736-  23139 SGRA         AP-H201-F102    34314        1 [  -415.066829,  -181.198457 ] [  -460.121024,  -396.878913 ]        101.0          0.1        0
  23152-  23553 SGRA         AP-H201-F102    34314        1 [  -420.197266,  -182.264859 ] [  -388.174520,  -324.834077 ]         99.1          0.2        0
  23565-  23965 SGRA         AP-H201-F102    34314        1 [  -416.947094,  -182.807082 ] [  -316.117390,  -252.752359 ]         95.4        178.7        0
  23977-  24127 SGRA         AP-H201-F102    34314        1 [  -412.881654,  -185.344399 ] [  -244.244675,  -225.889225 ]         96.1          0.0        0
  24140-  24543 SGRA         AP-H201-F102    34315        1 [  -417.816391,  -181.449866 ] [  -630.237814,  -566.762134 ]        100.6          0.2        0
  24556-  24957 SGRA         AP-H201-F102    34315        1 [  -418.973643,  -182.027052 ] [  -558.205273,  -494.840242 ]         94.2        179.8        0
  24969-  25373 SGRA         AP-H201-F102    34315        1 [  -418.752201,  -181.262810 ] [  -486.148143,  -422.844584 ]         97.5          1.3        0
  25385-  25537 SGRA         AP-H201-F102    34315        1 [  -416.558766,  -181.736478 ] [  -414.177074,  -395.833894 ]        104.6          0.2        0
  25559-  25958 SGRA         AP-H201-F102    34319        1 [  -417.775377,  -185.160812 ] [  -800.280837,  -736.817452 ]        100.1        180.0        0
  25971-  26370 SGRA         AP-H201-F102    34319        1 [  -414.872376,  -182.801920 ] [  -728.211413,  -664.809499 ]        102.9          1.7        0
  26382-  26782 SGRA         AP-H201-F102    34319        1 [  -417.145052,  -183.678432 ] [  -656.178872,  -592.690898 ]         89.6        179.4        0
  26794-  26944 SGRA         AP-H201-F102    34319        1 [  -410.785276,  -184.306476 ] [  -584.183214,  -565.876941 ]         91.6          0.1        0
  26957-  27356 SGRA         AP-H201-F102    34320        1 [  -515.094351,  -281.918184 ] [  -630.176342,  -566.737545 ]         97.9          0.2        0
  27369-  27770 SGRA         AP-H201-F102    34320        1 [  -517.907978,  -282.059089 ] [  -558.143801,  -494.717298 ]         97.8        178.9        0
  27782-  28184 SGRA         AP-H201-F102    34320        1 [  -517.381867,  -281.254866 ] [  -486.135849,  -422.783112 ]         91.8          0.7        0
  28196-  28346 SGRA         AP-H201-F102    34320        1 [  -518.119864,  -283.113905 ] [  -414.115602,  -395.760128 ]         96.2        179.8        0
  28380-  28781 SGRA         AP-H201-F102    14452        1 [  -218.110173,    17.193785 ] [  -119.899727,   -56.731400 ]         88.8        179.9        0
  28794-  29195 SGRA         AP-H201-F102    14452        1 [  -218.905391,    16.423795 ] [   -47.879478,    15.325728 ]         92.8          0.2        0
  29207-  29611 SGRA         AP-H201-F102    14452        1 [  -218.194649,    18.231053 ] [    24.054710,    87.296799 ]         84.5        179.5        0
  29624-  29777 SGRA         AP-H201-F102    14452        1 [  -218.635372,    18.750805 ] [    96.099547,   114.245988 ]         72.7          0.2        0
  29802-  30201 SGRA         AP-H201-F102    14454        1 [  -216.025202,    18.398638 ] [  -119.887433,   -56.719105 ]         84.8          0.1        0
  30214-  30615 SGRA         AP-H201-F102    14454        1 [  -218.926666,    15.219544 ] [   -47.916361,    15.325728 ]         95.5        179.5        0
  30627-  31029 SGRA         AP-H201-F102    14454        1 [  -218.624758,    15.134257 ] [    24.054710,    87.247622 ]         91.2          0.3        0
  31042-  31191 SGRA         AP-H201-F102    14454        1 [  -212.784586,    12.986855 ] [    96.074958,   114.196810 ]         88.0        179.8        0
  31216-  31617 SGRA         AP-H201-F102    14456        1 [  -218.336466,    16.849806 ] [  -119.887433,   -56.743694 ]         92.8        179.5        0
  31630-  32031 SGRA         AP-H201-F102    14456        1 [  -216.572588,    18.399536 ] [   -47.904066,    15.215079 ]         88.8          0.2        0
  32043-  32443 SGRA         AP-H201-F102    14456        1 [  -218.442144,    15.823961 ] [    24.091593,    87.186150 ]         94.4          0.2        0
  32456-  32605 SGRA         AP-H201-F102    14456        1 [  -211.493969,    15.482079 ] [    96.025781,   114.172222 ]         91.5          0.0        0
  32630-  33029 SGRA         AP-H201-F102    14458        1 [  -217.250121,    16.764616 ] [  -119.887433,   -56.805166 ]         85.7          0.2        0
  33042-  33445 SGRA         AP-H201-F102    14458        1 [  -217.464216,    19.604557 ] [   -47.928655,    15.215079 ]         86.2          0.3        0
  33457-  33857 SGRA         AP-H201-F102    14458        1 [  -216.807549,    14.704858 ] [    24.054710,    87.235327 ]         93.5          0.5        0
  33870-  34019 SGRA         AP-H201-F102    14458        1 [  -210.289412,    13.932638 ] [    96.038075,   114.172222 ]         92.9          0.3        0
  34053-  34452 SGRA         AP-H201-F102    14465        1 [  -115.319353,   117.030752 ] [  -119.961199,   -56.829755 ]         86.2        179.2        0
  34465-  34866 SGRA         AP-H201-F102    14465        1 [  -115.008789,   118.010961 ] [   -47.953244,    15.141313 ]         96.1          0.2        0
  34878-  35278 SGRA         AP-H201-F102    14465        1 [  -116.568357,   117.339815 ] [    24.030121,    87.124678 ]         93.0          0.1        0
  35291-  35442 SGRA         AP-H201-F102    14465        1 [  -111.858664,   117.959143 ] [    96.001192,   114.110750 ]         76.1          0.0        0
  35467-  35866 SGRA         AP-H201-F102    14467        1 [  -117.641087,   115.735236 ] [  -119.998082,   -56.891226 ]         87.6        179.8        0
  35879-  36280 SGRA         AP-H201-F102    14467        1 [  -115.868961,   120.063756 ] [   -48.002421,    15.116725 ]         86.6          0.1        0
  36292-  36696 SGRA         AP-H201-F102    14467        1 [  -117.273565,   118.360738 ] [    24.005533,    87.112384 ]         90.0        179.8        0
  36709-  36858 SGRA         AP-H201-F102    14467        1 [  -111.514483,   117.953464 ] [    95.976604,   114.086161 ]         88.0        179.7        0
/Users/adam/work/h2co/apex/2010_reduced/2010_raw/E-085.B-0964A-2010_merge.apex
------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     33-    432 SGRA         AP-H201-F102    34870        1 [   283.934720,   515.207546 ] [   730.204729,   793.545172 ]         78.2          0.9        0
    445-    844 SGRA         AP-H201-F102    34870        1 [   283.013677,   516.131734 ] [   802.163504,   865.553172 ]         79.1          0.7        0
    856-   1256 SGRA         AP-H201-F102    34870        1 [   282.291985,   514.481363 ] [   874.196093,   937.524241 ]         77.5        179.9        0
   1269-   1416 SGRA         AP-H201-F102    34870        1 [   287.765440,   517.684519 ] [   946.204046,   964.534907 ]         76.3        179.8        0
   1441-   1842 SGRA         AP-H201-F102    34872        1 [   381.026081,   615.767423 ] [   560.284649,   623.661974 ]         74.6        179.7        0
   1855-   2256 SGRA         AP-H201-F102    34872        1 [   380.446686,   614.073686 ] [   632.243424,   695.682221 ]         76.4        179.5        0
   2268-   2668 SGRA         AP-H201-F102    34872        1 [   388.467735,   614.393386 ] [   704.288259,   767.640996 ]         69.4          0.2        0
   2681-   2830 SGRA         AP-H201-F102    34872        1 [   387.538167,   615.430145 ] [   776.001148,   794.627074 ]         74.3          0.5        0
   2864-   3265 SGRA         AP-H201-F102    34878        1 [   385.650170,   618.689202 ] [   730.253907,   793.643526 ]         63.0        178.9        0
   3278-   3681 SGRA         AP-H201-F102    34878        1 [   380.982234,   618.605687 ] [   802.323331,   865.639232 ]         77.0        179.2        0
   3693-   4093 SGRA         AP-H201-F102    34878        1 [   383.383353,   616.800244 ] [   874.319037,   937.622596 ]         76.7          0.5        0
   4106-   4255 SGRA         AP-H201-F102    34878        1 [   384.177874,   615.191078 ] [   946.314695,   964.633262 ]         81.5        179.8        0
   4280-   4681 SGRA         AP-H201-F102    34880        1 [   383.718109,   618.912469 ] [   900.235506,   963.674303 ]         68.5          0.1        0
   4694-   5097 SGRA         AP-H201-F102    34880        1 [   381.567344,   618.367916 ] [   972.317225,  1035.583901 ]         74.7        179.4        0
   5109-   5511 SGRA         AP-H201-F102    34880        1 [   381.054680,   617.335240 ] [  1044.276000,  1107.591853 ]         68.2        179.6        0
   5524-   5673 SGRA         AP-H201-F102    34880        1 [   389.527761,   616.274997 ] [  1116.271658,  1134.639403 ]         59.6          0.5        0
   5742-   6141 SGRA         AP-H201-F102    19317        1 [    52.781081,   286.717444 ] [  -220.000236,  -156.672100 ]         83.4          0.5        0
   6154-   6205 SGRA         AP-H201-F102    19317        1 [    64.223126,   289.238864 ] [  -148.016884,  -147.303812 ]        101.6        179.7        0
   6230-   6279 SGRA         AP-H201-F102    19320        1 [    66.359807,   283.165172 ] [  -220.049413,  -219.324047 ]         75.9          0.4        0
   6304-   6707 SGRA         AP-H201-F102    19322        1 [    51.751964,   287.205495 ] [  -220.000236,  -156.758160 ]         85.0        179.3        0
   6720-   7119 SGRA         AP-H201-F102    19322        1 [    53.395858,   285.569267 ] [  -147.955412,   -84.774791 ]         83.2          0.1        0
   7131-   7531 SGRA         AP-H201-F102    19322        1 [    55.295693,   286.140594 ] [   -75.959748,   -12.766840 ]         82.2        180.0        0
   7544-   7693 SGRA         AP-H201-F102    19322        1 [    59.174534,   287.988659 ] [    -4.013270,    14.256121 ]         80.8          0.3        0
   7718-   8119 SGRA         AP-H201-F102    19324        1 [   221.408898,   457.896037 ] [  -319.916341,  -256.637370 ]         79.7        179.7        0
   8132-   8533 SGRA         AP-H201-F102    19324        1 [   221.709821,   455.988205 ] [  -247.896094,  -184.666313 ]         77.9        179.7        0
   8545-   8945 SGRA         AP-H201-F102    19324        1 [   221.989254,   457.924035 ] [  -175.974214,  -112.658361 ]         79.5          0.8        0
   8958-   9107 SGRA         AP-H201-F102    19324        1 [   228.481866,   457.216534 ] [  -103.941673,   -85.586217 ]         78.5        179.1        0
   9159-   9564 SGRA         AP-H201-F102    19389        1 [    51.835389,   288.021004 ] [  -220.147768,  -156.979458 ]         91.7        179.8        0
   9577-   9978 SGRA         AP-H201-F102    19389        1 [    52.452447,   288.148870 ] [  -148.115239,   -84.946911 ]         81.1        179.8        0
   9990-  10390 SGRA         AP-H201-F102    19389        1 [    52.371513,   287.616587 ] [   -76.156458,   -12.926666 ]         85.7        179.4        0
  10403-  10552 SGRA         AP-H201-F102    19389        1 [    58.314332,   287.716479 ] [    -4.111624,    14.059411 ]         88.3        179.8        0
  10589-  10790 SGRA         AP-H201-F102    19393        1 [  -287.642641,   -51.384106 ] [   192.856001,   220.100271 ]         98.8        179.2        0
  10815-  11214 SGRA         AP-H201-F102    19395        1 [  -287.886895,   -52.849678 ] [   156.833583,   220.063388 ]         90.4          0.6        0
  11227-  11626 SGRA         AP-H201-F102    19395        1 [  -285.336035,   -52.315606 ] [    84.739576,   148.055424 ]         90.4          0.8        0
  11638-  12040 SGRA         AP-H201-F102    19395        1 [  -286.715547,   -51.622315 ] [    12.793094,    76.108949 ]        103.6        179.8        0
  12053-  12202 SGRA         AP-H201-F102    19395        1 [  -287.561911,   -60.216353 ] [   -14.192983,     4.076406 ]         95.5        179.5        0
  12251-  12654 SGRA         AP-H201-F102    19399        1 [   221.666671,   458.306264 ] [  -320.137639,  -256.858669 ]         70.8          0.1        0
  12667-  13070 SGRA         AP-H201-F102    19399        1 [   221.881678,   458.758225 ] [  -248.105098,  -184.850728 ]         79.8          0.5        0
  13082-  13482 SGRA         AP-H201-F102    19399        1 [   221.989133,   454.764438 ] [  -176.097158,  -112.842776 ]         82.2        179.5        0
  13495-  13644 SGRA         AP-H201-F102    19399        1 [   224.182064,   453.088709 ] [  -104.113794,   -85.807515 ]         71.2          0.2        0
  13645-  13645 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13646-  13646 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13647-  13647 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13648-  13648 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13649-  13649 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13650-  13650 SGRA         AP-H201-F102    19399        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.2        0
  13698-  14097 SGRA         AP-H201-F102    19414        1 [    52.652464,   287.158527 ] [  -520.326410,  -456.740081 ]         88.5          2.0        0
  14110-  14509 SGRA         AP-H201-F102    19414        1 [    52.319088,   287.544214 ] [  -448.933174,  -384.732104 ]         90.9        177.5        0
  14521-  14921 SGRA         AP-H201-F102    19414        1 [    53.185953,   286.596493 ] [  -377.109613,  -312.650386 ]         91.0          0.9        0
  14934-  15087 SGRA         AP-H201-F102    19414        1 [    58.095303,   288.344090 ] [  -305.704083,  -285.492188 ]         88.1          4.6        0
  15112-  15511 SGRA         AP-H201-F102    19416        1 [    54.115419,   286.815342 ] [  -521.051776,  -456.531077 ]         89.5        177.9        0
  15524-  15923 SGRA         AP-H201-F102    19416        1 [    58.588332,   287.929829 ] [  -449.080706,  -384.707516 ]         86.3          0.4        0
  15935-  16335 SGRA         AP-H201-F102    19416        1 [    52.678061,   286.067236 ] [  -377.183379,  -312.773329 ]         92.9        178.5        0
  16348-  16499 SGRA         AP-H201-F102    19416        1 [    54.571426,   287.669294 ] [  -305.495080,  -285.147946 ]         92.4        172.0        0
  16500-  16500 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16501-  16501 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16502-  16502 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16503-  16503 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16504-  16504 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16505-  16505 SGRA         AP-H201-F102    19416        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        172.0        0
  16575-  16976 SGRA         AP-H201-F102    18595        1 [   -14.710771,   218.330463 ] [  -119.912022,   -56.768283 ]         81.5        179.5        0
  16989-  17388 SGRA         AP-H201-F102    18595        1 [   -18.154971,   216.040089 ] [   -47.953244,    15.227374 ]         79.2        179.8        0
  17400-  17800 SGRA         AP-H201-F102    18595        1 [   -19.191809,   216.436438 ] [    24.091593,    87.530392 ]         86.1        178.7        0
  17813-  17962 SGRA         AP-H201-F102    18595        1 [   -10.932818,   212.606391 ] [    96.062664,   114.528757 ]         72.4          0.4        0
  17987-  17988 SGRA         AP-H201-F102    18599        1 [    -0.177663,    -0.177663 ] [     0.142217,     0.142217 ]         16.1          0.0        0
  18013-  18414 SGRA         AP-H201-F102    18601        1 [   -17.721462,   217.900545 ] [  -120.059554,   -56.780577 ]         78.8          0.3        0
  18427-  18826 SGRA         AP-H201-F102    18601        1 [   -16.865548,   215.125218 ] [   -47.953244,    15.251962 ]         77.3          0.3        0
  18838-  19240 SGRA         AP-H201-F102    18601        1 [   -18.242756,   215.769086 ] [    24.030121,    87.161561 ]         85.2        180.0        0
  19253-  19402 SGRA         AP-H201-F102    18601        1 [   -15.234854,   212.079823 ] [    96.038075,   114.172222 ]         84.0          0.2        0
  19436-  19837 SGRA         AP-H201-F102    18607        1 [   -17.899905,   218.010642 ] [    50.020356,   113.139497 ]         76.5          0.1        0
  19850-  20249 SGRA         AP-H201-F102    18607        1 [   -17.387080,   217.622530 ] [   122.016011,   185.135155 ]         79.5          0.2        0
  20261-  20661 SGRA         AP-H201-F102    18607        1 [   -15.325646,   217.320286 ] [   193.987080,   257.143119 ]         80.7          0.1        0
  20674-  20823 SGRA         AP-H201-F102    18607        1 [   -13.175852,   212.875401 ] [   265.982750,   284.166080 ]         82.7        179.0        0
  20824-  20824 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  20825-  20825 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  20826-  20826 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  20827-  20827 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  20828-  20828 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  20829-  20829 SGRA         AP-H201-F102    18607        1 [          inf,         -inf ] [          inf,         -inf ]          0.0        179.0        0
  22025-  22424 SGRA         AP-H201-F102    18647        1 [   -17.650715,   216.464148 ] [   219.854385,   283.059589 ]         85.4        180.0        0
  22437-  22838 SGRA         AP-H201-F102    18647        1 [   -18.601090,   217.646038 ] [   291.862337,   355.030658 ]         77.7          0.6        0
  22850-  23250 SGRA         AP-H201-F102    18647        1 [   -15.419512,   215.955350 ] [   363.833406,   427.038587 ]         73.9          0.6        0
  23263-  23414 SGRA         AP-H201-F102    18647        1 [   -17.918419,   217.622914 ] [   435.779863,   454.049253 ]         95.8          1.0        0
  23439-  23840 SGRA         AP-H201-F102    18649        1 [    82.497258,   318.673196 ] [    49.786763,   113.004259 ]         87.2        180.0        0
  23853-  24252 SGRA         AP-H201-F102    18649        1 [    83.725960,   317.413314 ] [   121.819301,   185.085978 ]         73.6          0.1        0
